value,total_count
Marine Water,2073
coastal water,2072
marine benthic biome [ENVO:01000024],2070
aquarium,2069
environmental material,2069
dried blood spot,2067
mouse feces,2063
Microbiome samples,2056
Milk,2038
human saliva,2036
Tumor,2036
Gastrointestinal_tract_microbiota,2032
Caecal_contents,2032
agricultural soil biome,2022
fish farm,2018
anthropogenic habitat,2012
ENVO:01000020,2011
marine pelagic biome (ENVO:01000023),2003
Tongue coating,2002
temperate broadleaf evergreen forest,2000
fecal environmentENVO:01001029,1998
Control,1997
organism substance,1996
vaginal microbiome,1996
human-associated habitat ENVO:00009003,1995
ENVO:00005801,1990
farmland soil,1988
Semi-desert,1987
Research Farm,1987
[ENVO:01000049],1986
Hydrothermal vent microbial mat,1978
mammalia-associated habitat (ENVO:00009002),1975
woodland area[ENVO:00000109],1973
vaginal discharge,1963
fecal material [ENVO: 00002003],1963
Bacterial microbiome,1956
Mouse gut microbiome,1951
coastel marine,1950
[ENVO:01000249],1941
Phyllosphere,1940
gut metagenome,1933
[UBERON:0000463],1929
intesitinal biome,1928
ENVO:01000212,1925
laboratory environment,1924
aquifer,1923
long term research plot,1922
anaerobic bioreactor [ENVO:00002124],1922
not provided; submitted under MIGS 2.1,1920
Air,1914
Tumor Mycobiome,1911
Mediterranean,1910
decomposing leaf,1906
surface layer,1905
caecum,1901
ENVO:00000015,1894
leachate [ENVO:00002141],1894
temperate decidous broadleaf forest,1891
water body,1887
airway aspirate,1883
human-airway,1883
marine pelagic,1872
Urine,1863
coastal seawater,1859
chicken,1857
plain,1844
anaerobic digester sludge,1843
Glacial cryoconite,1842
digestive tract environment [ENVO: 01001033],1837
human microbiome [OHMI_0000002],1837
Supragingival,1833
bovine milk,1831
Temperate forest,1830
shoreline [ENVO:00000486],1828
mouse-associated habitat,1827
Hypersaline lake sediment,1824
ENVO:00002030,1819
fresh water [ENVO:00002011],1811
agricultural field [ENVO:00000114],1805
dental plaque,1804
freshwater biome [ENVO:00000873],1803
Marine biome,1803
Airway aspirate,1787
woodland ecosystem,1785
ENVO:01000687,1784
fecal material [ENVO_00002003],1782
ENVO_00001998,1778
marine coral reef biome [ENVO:01000049],1778
Soil [ENVO:00001998],1777
NW Spain,1774
digestive tract enviroment,1771
rocky shore ENVO:01000428,1771
UBERON:0002097,1764
ENVO:00000486,1764
freshwater biome [ENVO_00000873],1763
feacal matter,1762
ENVO:00002151,1760
compost,1757
faecal,1753
ENVO:01000998,1753
Human microbiota,1753
Subseafloor sediment,1752
ENVO:01000193,1750
ENVO:terrestrial biome,1747
soil environment [ENVO:01001044],1743
estuarine,1740
rumen fluid,1736
Alberta groundwater,1733
ENVO:01000159,1728
Cotton swab,1727
Infant stool,1723
River water [ENVO:01000599],1722
nasal swab,1719
Bare Land,1718
mouth environment [ENVO:08000002],1714
soil [ENVO_00001998],1714
small river biome,1708
intestinal,1708
Tropical,1706
C57BL/6 mouse gut,1705
ENVO:00002010,1699
temperate mixed forest biome [ENVO:01000212],1699
fluid,1698
subsurface,1697
surface soil,1696
human digestive tract,1696
infant_stool,1694
Food,1694
oropharynx,1693
Stool sample,1689
cultivated environment [ENVO:01000311],1688
coral,1688
bacteria,1688
nasopharynx,1686
cheese,1686
Stream,1684
marine benthic feature,1677
nasopharyngeal,1667
feaces,1665
Sludge,1662
ENVO:01001044,1658
Arctic Ocean,1658
Plaque,1657
Human-associated,1653
Digestive Tract,1649
Cropland biome,1647
Fecal sample,1644
ENVO:soil,1639
Africa,1638
lab,1636
Bos taurus taurus rumen microbiome,1634
human airway,1634
In vivo rumen sample,1634
North-East Atlantic,1633
ENVO:00002044,1631
ENVO:00002228,1629
ENVO:01000301,1628
Water Column,1622
intertidal,1621
chicken gut,1621
laboratory facility [ENVO:01001406],1620
deciduous forest,1618
Mixed,1611
plant leaf,1607
FlowPot,1606
gnotobiotic soil,1606
agricultural site,1604
Hot spring microbial mat,1604
biome [ENVO:00000428],1604
natural harbour (ENVO:00000465),1602
coastal seawater (ENVO:00002150),1602
leaf litter,1598
montane,1597
cold seep,1594
fecal material[ENVO:00002003],1591
peat soil,1589
Desert,1585
Wastewater treatment plant,1581
plant leaves,1578
temperate floodplain forest|Alnus glutinosa,1578
mammalia_associated_habitat,1577
mouse_associated_habitat,1577
lower intestine,1574
large intestine,1573
plaque biofilm,1567
Marine sponge,1565
agricultural land conversion[ENVO:01001430],1564
Farm,1562
lake biome,1562
mesocosm,1547
bay,1547
Chinese giant salamander gut,1536
prairie,1535
shrubland biome,1533
temperate desert biome,1530
FOODON:03411245,1527
FOODON:00002473,1527
sediment core,1525
coral reef biome,1514
field soil [ENVO:00005755],1512
ENVO:01000174,1511
Arctic Mid-Ocean Ridges hydrothermal vent,1509
Mountain,1507
ocean_biome,1505
Environmental,1504
subgingival plaque,1504
Sponge tissue,1499
montane grassland biome,1499
bovine gut,1497
Agricultural Field,1493
Coral Reef,1492
arid biome [ENVO:01001838],1491
breastmilk,1487
cropland biome [ENVO:01000245],1483
Freshwater biome,1482
ENVO:01001785,1482
skin of body [UBERON:0002097],1481
agricultural biome,1479
isolated from a single Apis mellifera colony,1477
ENVO:01000254,1476
grassland area,1472
oral rinse,1472
soybean corn rotation agricultural field,1472
fecal pellet,1471
agricultural ecosystem,1464
Ss,1463
large lake biome,1462
Colon contents,1462
land,1462
non,1460
hot spring [ENVO:00000051],1458
Freshwater lake,1457
ENVO:01000221,1454
Cnidarian-associated environment [ENVO_01001179],1452
Vaginal orifice,1452
Rhesus macaque microbiome,1451
ENVO:01001442,1451
bee gut,1448
homo sapien,1448
polar desert biome [ENVO:01000186],1448
Fresh water,1444
oronasal secretion(ENVO:02000035),1443
In vitro culture,1442
Polar desert sand,1440
planktonic material,1437
gastrointestinal_tract,1435
Marine sediment,1432
subway,1429
human milk,1427
eroded soil,1426
intestinal tract,1424
None,1421
wastewater treatment plant influent,1419
green house,1416
Microbial community,1416
feces biome,1416
mouth ENVO:00000479,1415
human feces metagenome,1415
coral tissue,1414
deep-sea coral community,1414
feces (ENVO:00002003),1412
Vaginal swab,1411
Anaerobic digester,1407
animal cage,1402
Plant,1398
ENVO:ocean biome,1398
Activated Sludge,1396
sediment environment,1396
Lichen microalgae,1394
animal-associated habitat(ENVO:00006776),1392
Lake Sediment,1392
Cropland,1390
Digestive tract environment,1390
mouse gut microbiome,1383
microbial feature [ENVO:01000007],1383
nest of bird,1382
skin epidermis,1375
animal-associated environment [ENVO:01001002],1374
GI Tract,1374
microbial mat material,1372
laboratory facility,1370
hot spring,1368
Proximal colon,1366
Hydrothermal vents,1363
arable soil,1360
Terrestrial biome [ENVO:00000446],1356
plants,1353
Wastewater reactor,1351
chyme,1349
cassette,1343
air filter,1340
ENVO:01000177,1339
mountain forest soil [ENVO:00005769],1336
urinary tract,1335
salt marsh,1334
daily farm[ENVO:00003862],1329
oceanic epipelagic zone biome,1328
wastewater biome,1327
ENVO:00000856,1326
biopsy,1326
old field,1326
military training area,1325
chaparral,1325
cow teat skin,1320
sandy soil,1320
digestive system,1317
Nasal,1316
anaerobic digester sludge [ENVO:00003965],1315
Freshwater/Marine,1314
marine sediment [ENVO:03000033],1314
Long-term experimental site,1312
Agar,1312
rock,1309
blood plasma,1305
mouse gut metagenome,1305
brackish water (ENVO:00002019),1304
ENVO_01000180,1302
Homo sapien Stool,1299
environmental system determined by an organism [ENVO:01001000],1297
ENVO_01001033,1297
plant tissue,1297
human lung,1296
Agricultural,1295
missing: data agreement established pre-2023,1293
sea water [ENVO: 00002149],1290
cecum content,1286
Apple orchard,1285
ENVO:00002007,1285
Tropical Biome,1285
Axilla Skin Environment|Tropical Woodland Biome,1284
mammalia-associateed habitat,1283
[ENVO:00000150],1282
Mangrove,1281
waste water,1281
Temperate Broadleaf and Mixed Fores,1279
ecosystem,1279
animal house ENVO:00003040,1277
paddy field,1275
Rectum,1274
village biome[ENVO:01000246],1273
ocean [ENVO: 03000072],1272
agricultural experimental plot,1271
grass,1271
Temperate Forest and Scrub,1271
Wooded,1271
marine pelagic biome [ENVO:01000023],1269
ENVO:00002034,1269
broiler gut,1268
alpine,1266
Intestinal contents,1265
Gut content,1265
Infant gut,1265
temperate dry conifer forest biome,1264
white fir dominated mixed conifer grove,1264
tropical broadleaf forest biome,1262
plantation,1261
intestinal contents,1260
animal cage ENVO:01000922,1260
beach sand,1259
floodplain,1258
Mesocosm,1257
oxygen minimum zone,1257
biofilter,1257
Marine Coral Biome,1254
Tropcal Marine,1254
Root endosphere,1254
Saline lake,1252
ENVO:01000349,1252
fecal contents,1251
agricultural ecosystem [ENVO:00000077],1250
vegetated area [ENVO:01001305],1250
wheat,1249
human fecal sample,1249
not applicaple,1248
sediment [ENVO:00002007],1247
homo sapiens,1245
soda lake,1243
sediment biome,1240
temperate evergreen needleleaf forest,1239
Mouse,1239
tropical forest,1235
temperaate mixed forest biome [ENVO:01000212],1232
temperaate biome [ENVO:01001831],1232
human gut microbiota,1232
rhizosphere [ENVO:00005801],1231
Agricultural land,1230
ocean biom [ENVO:01000048],1230
subpolar coniferous forest biome,1226
PCO:1000004,1224
Bos indicus gut,1223
sebum material,1223
Urban Biome,1221
crop land [ENVO:01000245],1221
plant associated [ENVO:01001001],1221
bodily fluid material ENVO:02000019,1220
epipelagic,1220
soil ecosystem,1216
red rock,1215
desert grassland/shrubland,1215
Vaginal fornix,1213
soil microbiome,1213
marsh,1212
biome ENVO:00000428,1212
Agriculture,1211
egg,1208
agriculture field,1208
Groundwater,1201
freshwater lake [ENVO:00000021],1201
Rumen Digesta,1200
113,1199
Salt pond soil,1198
subtropical forest,1197
Westernized healthy human gut,1196
organic material(ENVO:01000155),1195
ENVO:00000873,1192
colorectum,1186
biocrust,1186
surface seawater,1184
root matter [ENVO:01000349],1183
activated sludge[ENVO_00002046],1183
deep-sea sediment,1183
ENVO:00009002,1183
microcosm,1182
NICU,1181
Rumen microbiome,1180
terrestrial biome [ENVO_00000446],1178
ENVO:vineyard,1178
face,1176
ENVO:00002173,1176
Swab samples,1176
anthropogenic,1174
coniferous forest,1173
"feces, buccal swabs, nasal swabs",1172
"gut, oral cavity, nasal cavity",1172
skin of forehead (UBERON:0016475),1164
skin of anterior chest (UBERON:0019200),1163
Host associated,1163
Not Collected,1160
Marine environment,1158
Agricultural biome,1157
food processing building [ENVO:00003863],1156
saliva [UBERON:0001836],1156
Vaginal,1156
fish gut,1155
mouse-gut,1154
freshwater wetland ecosystem [ENVO_00000243]|active anaerobic enrichment culturing unit [ENVO_01001825],1152
NCBITaxon:9606,1151
infant feces,1151
vegetable soil biome,1151
ocean-coast,1150
solid surface layer [ENVO:01001311],1149
tropical marine coral reef biome [ENVO:01000854],1148
digestive system [UBERON:0001007],1148
cheese_rind [FOODON:00003842],1148
macroalga,1147
ENVO:park,1147
cheese_core [FOODON_00003841],1146
Environment,1146
water [CHEBI:15377],1145
leaves,1144
Intestinal tract,1143
pot,1142
seagrass,1141
vagina [UBERON:0000996],1141
"plant above surface, excluding fruit and seed",1138
pig gut,1137
ENVO:01000048,1137
Sw,1137
activated sludge microbiome,1136
Glacial lake water,1136
ENVO:00000078,1135
coniferous forest biome,1135
Bladder,1132
ENVO_00000446,1131
plant matter ENVO:01001121,1127
Plant root,1127
anaerobic digester| wastewater treatment plant,1126
boreal forest soils,1126
ENVO:01001002,1125
ENVO:01001790,1124
boreal,1124
wood [ENVO:00002040],1123
ENVO:reef,1118
UBERON:0004983,1116
freshwater [ENVO:00002011],1114
Anaerobic digester sludge [ENVO:00003965],1113
human metagenome,1113
fecal samples,1111
mucus [UBERON:0000912],1111
leaf phyllosphere,1109
rumen biome,1109
single strain culture,1108
Macroalgae,1100
freshwater river biome [ENVO:01000253],1099
freshwater biome[ENVO:00000873],1097
ENVO:00000033,1097
na,1095
bovine rumen,1095
boreal forest biome,1093
farm soil,1093
Content,1092
Farmland,1091
aerosol,1090
mesophilic| wastewater treatment plant,1089
feline_feces,1089
small river biome [ENVO:00000890],1087
sea ice,1086
growth chamber,1086
human skin swab,1083
NOT APPLICABLE,1083
coral mucus and tissue,1082
biofilm material [ENVO:01000156],1080
ENVO:01000922 animal cage,1079
ENVO:01001406 laboratory facility,1079
Mouth,1074
ENVO_2100002,1074
Hainich Critical Zone Exploratory (CZE),1073
SHIME environment,1072
Rectal swab,1071
ENVO:00000316,1071
brackish estuary,1070
skin of face,1069
savanna,1069
mouth [UBERON:0000165],1068
biological product [ENVO:02000043],1067
garden,1066
Southwestern US,1066
savana,1065
supragingival plaque,1064
Distal colon,1062
ENVO:01000047,1062
organic feature(ENVO:01000159),1058
mammalian-associated habitat,1058
polar biome,1057
cecal contents,1056
Lake water,1055
sputum-bal,1055
shallow marine sediment [ENVO:03000034],1055
alpine tundra biome,1054
animal distal gut,1053
animal-associated habitat(ENVO:00006776); marine benthic biome(ENVO:01000024),1053
estuarine sediment,1051
Brackish,1051
pine forest,1050
harbor,1049
host associated,1049
ENVO:00000116,1049
semiarid,1048
environment associated with a plant part or small plant,1046
Lung; lower airway,1045
shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316],1045
Animal Litter|Mud|Sand,1040
human gastric tissue,1038
negative control,1038
Faecal sample,1036
water [ENVO:00002006],1035
marine sediment biome,1034
Endosphere,1034
mediterranean biome [ENVO:01001833],1034
"organic material, bodily fluid",1032
sandy beach,1032
Saline,1031
milk [UBERON:0001913],1030
Lab,1029
reservoir,1028
nest of egg,1027
Human gut stool,1026
littoral zone,1023
distal gut,1020
estuarine mud,1019
respiratory,1018
tobacco product,1015
ENVO:urbanbiome,1015
ENVO:01001206,1014
beech_forest,1012
UBERON:0004907,1012
ENVO:01000155,1011
Oral gavage,1011
Peat,1010
Ac,1009
pH,1008
phyllosphere,1007
Animal,1007
material anatomical entity,1006
retail food; FOODON_00001002:food product,1003
digestive tract environmentENVO:01001033,1001
lake microeukaryotes,999
mesocosoms,999
vaginal biome,998
fringing reef,997
Missing|||Missing,997
reactor,993
Pig,992
intertidal zone[ENVO:00000136],991
marine benthic biomeestuarine biome [ENVO:01000024],991
dryland,990
ENVO:02000040,989
"particulate matter, including plankton (ENVO:xxxxxxxx)",988
Gut Microbiome,986
marine biome [ENVO_00000447],986
Poultry house,982
UBERON:0000165,977
marine water column,977
freshwater wetland,976
vaginal fluid,976
Coral Tissue,974
bioreactor [ENVO:00002123],973
roots,973
channel,969
Mucosa,967
ENVO:00002261,964
season [ENVO:03000096],963
house,962
human-associated_habitat,961
microbial,957
Leaf tissue,956
Mediterranean/Atlantic,955
Arable or Pasturable Land [ENVO:01001183],955
Terrestrial Biome [ENVO:00000446],955
Arctic tundra,954
Deciduous Forest,953
intestine environment [ENVO: 2100002],951
host organism,951
host_body_product,950
pasture soil [ENVO:00005773],949
Oral cavity,947
Human_female,946
climatic chamber,945
saline water (ENVO:00002010),944
lagoon,943
Dental plaque,942
Seychelles warbler,942
snow,941
dairy,938
Cervus elaphus,937
ENVO:00002003 fecal material,935
Basin,935
soil mesocosm,935
plant growth chamber,933
ENVO:organism-associated habitat,933
area of sea ice [ENVO: 01001520],932
metagenome,931
hunan feces,930
tooth and gum surfaces,930
temperate grassland biome [ENVO:01000193],928
ENVO:00002124,928
[ENVO:01001002],928
meadow soil,928
ENVO_00002191,926
research laboratory,925
Pelagic,924
oral biome,924
Estuary,923
ENVO:00000207,923
Drinking water,923
island,921
tropical moist broadleaf forest biome,921
temperate deciduous broadleaf forest [ENVO:01000385],921
Phyllosphere biome,920
marine island,919
aquaculture,919
environmental material [ENVO:00010483],919
moving bed biofilm,919
Human-associated biome,918
Plant-associated,915
Boreal forest,914
coastal marine,914
human feces sample,914
human feces microbiome,914
rhizosphere (ENVO:00005801),914
ENVO:01000621,913
human-related habitat,911
Intertidal belt,910
ENVO:01001001,909
Human bacterial culture,909
ENVO:00003965,908
Rat feces,908
ENVO:01001803,907
lake_seq,906
Chihuahuan Desert,906
human_lung,905
Mediterranean biome [ENVO:01001833],903
Forest understory,903
plant-associated,903
alga [ENVO:02500019],903
oceanic epipelagic zone biome [ENVO:01000035],902
mouse microbiome,901
