raw_text,portion_parsed,normalized_curie,normalized_label,count
fecal sample,fecal sample,,fecal sample,12192
Agricultural Land,Agricultural Land,,Agricultural Land,12189
peat soil [ENVO:00005774],peat soil [ENVO:00005774],ENVO:00005774,peat soil,12175
sterile water,sterile water,,sterile water,12151
soil [ENVO:00001998],soil [ENVO:00001998],ENVO:00001998,soil,12128
host-associated habitat,host-associated habitat,,host-associated habitat,12102
Grassland,Grassland,,Grassland,11963
stream,stream,,stream,11961
anthropogenic terrestrial biome,anthropogenic terrestrial biome,,anthropogenic terrestrial biome,11887
ocean,ocean,,ocean,11683
river,river,,river,11639
area of cropland,area of cropland,,area of cropland,11483
aquatic biome,aquatic biome,,aquatic biome,11459
groundwater,groundwater,,groundwater,11252
freshwater biome,freshwater biome,,freshwater biome,11157
subpolar biome [ENVO:01001834]|peatland [ENVO:00000044],subpolar biome [ENVO:01001834],ENVO:01001834,subpolar biome,11099
subpolar biome [ENVO:01001834]|peatland [ENVO:00000044],peatland [ENVO:00000044],ENVO:00000044,peatland,11099
ENVO:feces,ENVO:feces,,ENVO:feces,11094
Leaf,Leaf,,Leaf,10850
coastal,coastal,,coastal,10793
forest soil,forest soil,,forest soil,10777
microbial feature,microbial feature,,microbial feature,10735
oral,oral,,oral,10619
intertidal zone,intertidal zone,,intertidal zone,10609
Salt marsh,Salt marsh,,Salt marsh,10586
human feces,human feces,,human feces,10417
ENVO:0000903,ENVO:0000903,ENVO:0000903,,10360
Saliva,Saliva,,Saliva,10240
mammalia-associated habitat,mammalia-associated habitat,,mammalia-associated habitat,10239
freshwater lake,freshwater lake,,freshwater lake,10217
biofilm,biofilm,,biofilm,10136
human oral cavity,human oral cavity,,human oral cavity,10074
not provided,not provided,,not provided,9909
greenhouse,greenhouse,,greenhouse,9881
urban biome (ENVO:01000249),urban biome (ENVO:01000249),ENVO:01000249,urban biome,9844
ENVO:urban biome,ENVO:urban biome,,ENVO:urban biome,9837
Antarctic saline lake,Antarctic saline lake,,Antarctic saline lake,9798
fecal material (ENVO:00002003),fecal material (ENVO:00002003),ENVO:00002003,fecal material,9792
leaf,leaf,,leaf,9748
microbiome,microbiome,,microbiome,9723
field,field,,field,9661
urban biome [ENVO:01000249],urban biome [ENVO:01000249],ENVO:01000249,urban biome,9615
excreta material [ENVO:02000022],excreta material [ENVO:02000022],ENVO:02000022,excreta material,9467
ENVO:01001033,ENVO:01001033,ENVO:01001033,,9437
mouse,mouse,,mouse,9370
Human saliva,Human saliva,,Human saliva,9257
bodily fluid material biome [ENVO:02000019],bodily fluid material biome [ENVO:02000019],ENVO:02000019,bodily fluid material biome,9184
wastewater,wastewater,,wastewater,9150
swab,swab,,swab,9056
fecal environment,fecal environment,,fecal environment,8717
urban,urban,,urban,8716
organic feature,organic feature,,organic feature,8623
human gut microbiome,human gut microbiome,,human gut microbiome,8613
ENVO:00010483,ENVO:00010483,ENVO:00010483,,8572
Rumen,Rumen,,Rumen,8566
agricultural soil [ENVO:00002259],agricultural soil [ENVO:00002259],ENVO:00002259,agricultural soil,8515
Microbiome,Microbiome,,Microbiome,8466
plant matter,plant matter,,plant matter,8435
sludge,sludge,,sludge,8283
fecal environment [ENVO:01001029],fecal environment [ENVO:01001029],ENVO:01001029,fecal environment,8153
Amies transport medium,Amies transport medium,,Amies transport medium,8026
human skin,human skin,,human skin,8012
Activated Sludge [ENVO:00002046],Activated Sludge [ENVO:00002046],ENVO:00002046,Activated Sludge,7797
animal-associated environment,animal-associated environment,,animal-associated environment,7787
plant-associated habitat,plant-associated habitat,,plant-associated habitat,7784
temperate biome,temperate biome,,temperate biome,7762
Human digestive system,Human digestive system,,Human digestive system,7753
urine,urine,,urine,7702
estuarine biome,estuarine biome,,estuarine biome,7674
vegetative shoot system,vegetative shoot system,,vegetative shoot system,7668
Freshwater,Freshwater,,Freshwater,7627
hominid body,hominid body,,hominid body,7592
city,city,,city,7584
ENVO:00000062,ENVO:00000062,ENVO:00000062,,7538
UBERON:0001988,UBERON:0001988,,UBERON:0001988,7508
not aplicable,not aplicable,,not aplicable,7451
host-associated,host-associated,,host-associated,7440
biological sample,biological sample,,biological sample,7387
ENVO:00000446,ENVO:00000446,ENVO:00000446,,7382
supragingival dental plaque,supragingival dental plaque,,supragingival dental plaque,7286
Seawater,Seawater,,Seawater,7179
nasal cavity,nasal cavity,,nasal cavity,7152
intestine,intestine,,intestine,7103
Wastewater,Wastewater,,Wastewater,7094
intestine environment [ENVO:2100002],intestine environment [ENVO:2100002],ENVO:2100002,intestine environment,7087
sewage,sewage,,sewage,7020
sea water [ENVO:00002149],sea water [ENVO:00002149],ENVO:00002149,sea water,6999
Human Gut - fecal,Human Gut - fecal,,Human Gut - fecal,6906
estuarine biome [ENVO:01000020],estuarine biome [ENVO:01000020],ENVO:01000020,estuarine biome,6899
digestive tract,digestive tract,,digestive tract,6876
laboratory,laboratory,,laboratory,6828
anatomical entity environment,anatomical entity environment,,anatomical entity environment,6797
aquatic,aquatic,,aquatic,6786
Waste Water [ENVO:00002001],Waste Water [ENVO:00002001],ENVO:00002001,Waste Water,6775
Activated sludge,Activated sludge,,Activated sludge,6773
temperate grassland,temperate grassland,,temperate grassland,6767
tissue,tissue,,tissue,6763
wastewater treatment plant,wastewater treatment plant,,wastewater treatment plant,6735
mud,mud,,mud,6716
digestive tract environment [ENVO:01001033],digestive tract environment [ENVO:01001033],ENVO:01001033,digestive tract environment,6715
Marine,Marine,,Marine,6596
unknown,unknown,,unknown,6596
Root,Root,,Root,6583
Human-associated habitat,Human-associated habitat,,Human-associated habitat,6580
aquatic biome [ENVO:00002030],aquatic biome [ENVO:00002030],ENVO:00002030,aquatic biome,6556
ENVO:01001029,ENVO:01001029,ENVO:01001029,,6549
Wetland,Wetland,,Wetland,6509
rice field,rice field,,rice field,6508
epithelium of vagina,epithelium of vagina,,epithelium of vagina,6487
-,-,,-,6451
Fecal,Fecal,,Fecal,6442
human body,human body,,human body,6391
ocean biome,ocean biome,,ocean biome,6380
freshwater ecosystem,freshwater ecosystem,,freshwater ecosystem,6252
lower digestive tract,lower digestive tract,,lower digestive tract,6164
lung,lung,,lung,6117
Lake,Lake,,Lake,6117
temperate forest,temperate forest,,temperate forest,6102
village biome,village biome,,village biome,6064
terrestrial,terrestrial,,terrestrial,6007
Cecum,Cecum,,Cecum,5958
freshwater lake biome,freshwater lake biome,,freshwater lake biome,5948
ENVO:00000447,ENVO:00000447,ENVO:00000447,,5946
Skin,Skin,,Skin,5941
dust,dust,,dust,5923
feces [UBERON:0001988],feces [UBERON:0001988],,feces UBERON:0001988,5876
colon,colon,,colon,5858
Bulk soil,Bulk soil,,Bulk soil,5846
Gut microbiome,Gut microbiome,,Gut microbiome,5832
ENVO:00009003,ENVO:00009003,ENVO:00009003,,5816
human-associated habitat [ENVO:00009003],human-associated habitat [ENVO:00009003],ENVO:00009003,human-associated habitat,5811
Small river biome,Small river biome,,Small river biome,5787
human-vaginal,human-vaginal,,human-vaginal,5778
vaginal swab,vaginal swab,,vaginal swab,5768
Vineyard,Vineyard,,Vineyard,5739
Salt marsh sediment,Salt marsh sediment,,Salt marsh sediment,5724
laboratory environment [ENVO:01001405],laboratory environment [ENVO:01001405],ENVO:01001405,laboratory environment,5671
Caeca,Caeca,,Caeca,5652
ENVO:cropland biome,ENVO:cropland biome,,ENVO:cropland biome,5647
temperate,temperate,,temperate,5637
Gut contents,Gut contents,,Gut contents,5635
Gallus gallus domesticus,Gallus gallus domesticus,,Gallus gallus domesticus,5616
Digesta,Digesta,,Digesta,5557
Colon,Colon,,Colon,5541
Greenhouse,Greenhouse,,Greenhouse,5500
ENVO:01000245,ENVO:01000245,ENVO:01000245,,5487
Homo sapiens,Homo sapiens,,Homo sapiens,5470
anthropogenic environment [ENVO:01000313],anthropogenic environment [ENVO:01000313],ENVO:01000313,anthropogenic environment,5422
sputum,sputum,,sputum,5418
estuarine water,estuarine water,,estuarine water,5391
ENVO:dense settlement biome,ENVO:dense settlement biome,,ENVO:dense settlement biome,5360
Agricultural field,Agricultural field,,Agricultural field,5350
marine benthic biome,marine benthic biome,,marine benthic biome,5288
bioreactor,bioreactor,,bioreactor,5209
Lung,Lung,,Lung,5194
blood,blood,,blood,5166
Mouse gut,Mouse gut,,Mouse gut,5155
agricultural,agricultural,,agricultural,5148
oral_swab,oral_swab,,oral_swab,5145
coastal sea water [ENVO:00002150],coastal sea water [ENVO:00002150],ENVO:00002150,coastal sea water,5126
building,building,,building,5122
infant,infant,,infant,5113
missing: sample group,missing: sample group,,missing: sample group,5104
cell culture,cell culture,,cell culture,5092
estuarine water [ENVO:01000301],estuarine water [ENVO:01000301],ENVO:01000301,estuarine water,5079
Rumen contents,Rumen contents,,Rumen contents,5035
Common garden,Common garden,,Common garden,5032
microbial community [PCO:1000004],microbial community [PCO:1000004],,microbial community PCO:1000004,5032
shoreline,shoreline,,shoreline,5024
fluvial,fluvial,,fluvial,4994
Aquatic,Aquatic,,Aquatic,4979
individual,individual,,individual,4978
coast,coast,,coast,4939
ENVO:01001055,ENVO:01001055,ENVO:01001055,,4937
ENVO:mammalia-associated habitat,ENVO:mammalia-associated habitat,,ENVO:mammalia-associated habitat,4903
Field,Field,,Field,4895
human digestive system,human digestive system,,human digestive system,4884
Gastrointestinal tract,Gastrointestinal tract,,Gastrointestinal tract,4872
human-associated,human-associated,,human-associated,4865
marine pelagic biome,marine pelagic biome,,marine pelagic biome,4849
Agricultural soil,Agricultural soil,,Agricultural soil,4820
stream sediment,stream sediment,,stream sediment,4811
marine biome (ENVO:00000447),marine biome (ENVO:00000447),ENVO:00000447,marine biome,4755
Oral,Oral,,Oral,4726
open ocean,open ocean,,open ocean,4689
Hot spring sediment,Hot spring sediment,,Hot spring sediment,4661
Pig digestive system,Pig digestive system,,Pig digestive system,4655
Northwestern North America,Northwestern North America,,Northwestern North America,4619
university campus,university campus,,university campus,4612
woodland biome,woodland biome,,woodland biome,4609
ENVO_00002003,ENVO_00002003,ENVO:00002003,,4522
cropland,cropland,,cropland,4509
rumen,rumen,,rumen,4467
Coastal areas,Coastal areas,,Coastal areas,4415
Not collected,Not collected,,Not collected,4406
airway,airway,,airway,4398
microbial community,microbial community,,microbial community,4387
Sputum,Sputum,,Sputum,4363
orchard,orchard,,orchard,4359
Temperate Forest,Temperate Forest,,Temperate Forest,4347
DNA,DNA,,DNA,4302
cecum,cecum,,cecum,4263
mouth,mouth,,mouth,4262
not available,not available,,not available,4249
pond,pond,,pond,4248
human-oral,human-oral,,human-oral,4247
Laboratory,Laboratory,,Laboratory,4243
human microbiome,human microbiome,,human microbiome,4205
temperate woodland biome,temperate woodland biome,,temperate woodland biome,4199
estuary,estuary,,estuary,4165
skin swab,skin swab,,skin swab,4164
soil biome,soil biome,,soil biome,4158
landfill [ENVO:00000533],landfill [ENVO:00000533],ENVO:00000533,landfill,4155
caecal content,caecal content,,caecal content,4146
feces [ENVO:00002003],feces [ENVO:00002003],ENVO:00002003,feces,4136
saline water,saline water,,saline water,4112
marine abyssal zone biome,marine abyssal zone biome,,marine abyssal zone biome,4083
honey bee colony,honey bee colony,,honey bee colony,4074
chicken fecal sample,chicken fecal sample,,chicken fecal sample,4057
activated sludge,activated sludge,,activated sludge,4050
digesta,digesta,,digesta,4049
skin environment,skin environment,,skin environment,4043
pasture,pasture,,pasture,4036
marine oligotrophic desert,marine oligotrophic desert,,marine oligotrophic desert,4030
Brackish water,Brackish water,,Brackish water,4030
offshore,offshore,,offshore,4019
tundra biome,tundra biome,,tundra biome,4008
small lake biome,small lake biome,,small lake biome,4007
surface water,surface water,,surface water,4002
a,a,,a,3998
River,River,,River,3983
agriculture,agriculture,,agriculture,3977
"metagenome/environmental, human-associated [ENVO:00000428]","metagenome/environmental, human-associated [ENVO:00000428]",ENVO:00000428,"metagenome/environmental, human-associated",3966
habitat,habitat,,habitat,3949
organic material feature,organic material feature,,organic material feature,3915
anaerobic bioreactor,anaerobic bioreactor,,anaerobic bioreactor,3911
soil environment,soil environment,,soil environment,3878
environment associated with an animal part or small animal [ENVO:01001055],environment associated with an animal part or small animal [ENVO:01001055],ENVO:01001055,environment associated with an animal part or small animal,3851
Engineered,Engineered,,Engineered,3847
coastal sea water,coastal sea water,,coastal sea water,3842
human oral,human oral,,human oral,3820
ENVO:02000036,ENVO:02000036,ENVO:02000036,,3779
mangrove biome,mangrove biome,,mangrove biome,3772
Coastal,Coastal,,Coastal,3729
desert,desert,,desert,3710
Hydrothermal vent sediment,Hydrothermal vent sediment,,Hydrothermal vent sediment,3710
temperate grassland biome,temperate grassland biome,,temperate grassland biome,3707
Digestive system,Digestive system,,Digestive system,3690
mountain,mountain,,mountain,3679
Vagina,Vagina,,Vagina,3665
anaerobic digester microbiome,anaerobic digester microbiome,,anaerobic digester microbiome,3658
Rumen content,Rumen content,,Rumen content,3636
Human Gut,Human Gut,,Human Gut,3630
Human stool,Human stool,,Human stool,3628
deep marine sediment,deep marine sediment,,deep marine sediment,3615
none,none,,none,3606
insecta-associated habitat,insecta-associated habitat,,insecta-associated habitat,3604
temperate forest biome,temperate forest biome,,temperate forest biome,3597
root matter,root matter,,root matter,3588
ENVO:00005802,ENVO:00005802,ENVO:00005802,,3567
gastrointestinal tract,gastrointestinal tract,,gastrointestinal tract,3565
cultivated environment,cultivated environment,,cultivated environment,3556
rhizosphere soil,rhizosphere soil,,rhizosphere soil,3553
ENVO:00000114,ENVO:00000114,ENVO:00000114,,3545
reef,reef,,reef,3515
pig,pig,,pig,3510
anthropogenic terrestrial biome [ENVO:01000219],anthropogenic terrestrial biome [ENVO:01000219],ENVO:01000219,anthropogenic terrestrial biome,3503
Human Microbiome,Human Microbiome,,Human Microbiome,3503
Mipro,Mipro,,Mipro,3497
ENVO:01001243,ENVO:01001243,ENVO:01001243,,3488
organism-associated habitat,organism-associated habitat,,organism-associated habitat,3481
ENVO:00002149,ENVO:00002149,ENVO:00002149,,3477
Ocean,Ocean,,Ocean,3471
agricultural feature,agricultural feature,,agricultural feature,3450
whole body,whole body,,whole body,3434
farmland,farmland,,farmland,3431
Sheep digestive system,Sheep digestive system,,Sheep digestive system,3430
respiratory tract,respiratory tract,,respiratory tract,3415
ENVO:01000198,ENVO:01000198,ENVO:01000198,,3412
faecal matter,faecal matter,,faecal matter,3409
lake water,lake water,,lake water,3408
microbial mat,microbial mat,,microbial mat,3383
Common Garden,Common Garden,,Common Garden,3381
gut microbiome of insect herbivore,gut microbiome of insect herbivore,,gut microbiome of insect herbivore,3359
freshwater reservoir,freshwater reservoir,,freshwater reservoir,3353
human biome,human biome,,human biome,3287
ocean water,ocean water,,ocean water,3268
Oceanic,Oceanic,,Oceanic,3242
waste water [ENVO:00002001 ],waste water [ENVO:00002001 ],ENVO:00002001,waste water],3236
temperate terrestrial ecosystem,temperate terrestrial ecosystem,,temperate terrestrial ecosystem,3234
Terrestrial,Terrestrial,,Terrestrial,3230
wood,wood,,wood,3208
tundra,tundra,,tundra,3198
oronasal secretion,oronasal secretion,,oronasal secretion,3197
Saline lake water,Saline lake water,,Saline lake water,3168
feces ENVO:00002003,feces ENVO:00002003,ENVO:00002003,feces,3160
ENVO:00010505,ENVO:00010505,ENVO:00010505,,3145
Antarctic oligotrophic lake,Antarctic oligotrophic lake,,Antarctic oligotrophic lake,3134
intestine environment (ENVO:2100002),intestine environment (ENVO:2100002),ENVO:2100002,intestine environment,3123
15,15,,15,3122
Swab,Swab,,Swab,3122
freshwater habitat,freshwater habitat,,freshwater habitat,3118
anaerobic sludge,anaerobic sludge,,anaerobic sludge,3107
Rumen fluid,Rumen fluid,,Rumen fluid,3106
vineyard,vineyard,,vineyard,3103
Grape Must,Grape Must,,Grape Must,3102
2225,2225,,2225,3091
1000005,1000005,,1000005,3091
rangeland biome,rangeland biome,,rangeland biome,3089
Tongue swab,Tongue swab,,Tongue swab,3072
feces metagenome,feces metagenome,,feces metagenome,3071
Intestine,Intestine,,Intestine,3069
Artificial Surfaces,Artificial Surfaces,,Artificial Surfaces,3064
Sea water,Sea water,,Sea water,3063
Pharyngeal/Respiratory Flora,Pharyngeal/Respiratory Flora,,Pharyngeal/Respiratory Flora,3057
Nasal Wash,Nasal Wash,,Nasal Wash,3057
food material [FOODON:00002403],food material [FOODON:00002403],,food material FOODON:00002403,3053
organic,organic,,organic,3049
human_gut,human_gut,,human_gut,3024
Vaginal fluid,Vaginal fluid,,Vaginal fluid,3024
marine water,marine water,,marine water,3023
Faecal,Faecal,,Faecal,3015
organ,organ,,organ,3014
plant matter [ENVO:01001121],plant matter [ENVO:01001121],ENVO:01001121,plant matter,2999
plant roots,plant roots,,plant roots,2996
not applicable',not applicable',,not applicable',2994
plaque,plaque,,plaque,2993
cultivated soil,cultivated soil,,cultivated soil,2982
tongue,tongue,,tongue,2981
anthropogenic terrestrial,anthropogenic terrestrial,,anthropogenic terrestrial,2979
epilimnion,epilimnion,,epilimnion,2972
peat,peat,,peat,2968
water column,water column,,water column,2962
boreal forest,boreal forest,,boreal forest,2946
ileum,ileum,,ileum,2942
intertidal zone [ENVO:00000316],intertidal zone [ENVO:00000316],ENVO:00000316,intertidal zone,2934
rectum,rectum,,rectum,2919
human-skin,human-skin,,human-skin,2892
Rhizosphere soil,Rhizosphere soil,,Rhizosphere soil,2889
organism,organism,,organism,2879
millet root,millet root,,millet root,2879
millet root habitat,millet root habitat,,millet root habitat,2879
freshwater river biome[ENVO:01000253],freshwater river biome[ENVO:01000253],ENVO:01000253,freshwater river biome,2872
microbial feature [ENVO:00002150],microbial feature [ENVO:00002150],ENVO:00002150,microbial feature,2871
Plants,Plants,,Plants,2858
deciduous woodland,deciduous woodland,,deciduous woodland,2854
Hot spring phototrophic mat,Hot spring phototrophic mat,,Hot spring phototrophic mat,2838
rectal swab,rectal swab,,rectal swab,2832
ciliate culture,ciliate culture,,ciliate culture,2829
Human gut microbiome,Human gut microbiome,,Human gut microbiome,2799
hive debris,hive debris,,hive debris,2781
Ileum,Ileum,,Ileum,2781
Fecal microbiome,Fecal microbiome,,Fecal microbiome,2781
milk,milk,,milk,2773
ENVO:00002043,ENVO:00002043,ENVO:00002043,,2763
non applicable,non applicable,,non applicable,2762
Severely preterm infant,Severely preterm infant,,Severely preterm infant,2744
Blood,Blood,,Blood,2736
environmental system,environmental system,,environmental system,2718
stool sample,stool sample,,stool sample,2715
Ruminant,Ruminant,,Ruminant,2712
deadwood,deadwood,,deadwood,2706
meadow,meadow,,meadow,2701
sea,sea,,sea,2693
Gut microbiota,Gut microbiota,,Gut microbiota,2680
anaerobic,anaerobic,,anaerobic,2680
area of cropland [ENVO:01000892],area of cropland [ENVO:01000892],ENVO:01000892,area of cropland,2679
surface,surface,,surface,2667
ENVO:01000219,ENVO:01000219,ENVO:01000219,,2666
Deep-sea hydrothermal deposit,Deep-sea hydrothermal deposit,,Deep-sea hydrothermal deposit,2658
natural environment,natural environment,,natural environment,2652
Human vagina,Human vagina,,Human vagina,2645
Hospital,Hospital,,Hospital,2638
ENVO_2100003,ENVO_2100003,ENVO:2100003,,2636
marine sub-littoral zone,marine sub-littoral zone,,marine sub-littoral zone,2635
ENVO:00002259,ENVO:00002259,ENVO:00002259,,2635
sand,sand,,sand,2634
chicken intestine,chicken intestine,,chicken intestine,2618
not_applicable,not_applicable,,not_applicable,2598
Soda lake,Soda lake,,Soda lake,2592
marine water body,marine water body,,marine water body,2581
temperate broadleaf forest,temperate broadleaf forest,,temperate broadleaf forest,2580
nasal,nasal,,nasal,2575
ENVO:00002018,ENVO:00002018,ENVO:00002018,,2560
field soil,field soil,,field soil,2553
Forest soil,Forest soil,,Forest soil,2549
mid-vaginal swab,mid-vaginal swab,,mid-vaginal swab,2547
sewage treatment plant,sewage treatment plant,,sewage treatment plant,2539
human gut biome,human gut biome,,human gut biome,2536
Tissue,Tissue,,Tissue,2519
freshwater river,freshwater river,,freshwater river,2511
digestive tract environment[ENVO:01001033],digestive tract environment[ENVO:01001033],ENVO:01001033,digestive tract environment,2506
kelp forest,kelp forest,,kelp forest,2503
mid-vaginal wall,mid-vaginal wall,,mid-vaginal wall,2501
tropical woodland biome,tropical woodland biome,,tropical woodland biome,2494
Human microbiome,Human microbiome,,Human microbiome,2480
gut content,gut content,,gut content,2477
Terrestrial biome,Terrestrial biome,,Terrestrial biome,2473
Human oral cavity,Human oral cavity,,Human oral cavity,2463
forest biome [ENVO:01000174],forest biome [ENVO:01000174],ENVO:01000174,forest biome,2448
mucosa,mucosa,,mucosa,2442
wetland,wetland,,wetland,2420
indoor,indoor,,indoor,2416
n/a,n/a,,n/a,2413
ocean biome [ENVO:01000048],ocean biome [ENVO:01000048],ENVO:01000048,ocean biome,2412
[ENVO:00000428],[ENVO:00000428],ENVO:00000428,,2397
Hot spring,Hot spring,,Hot spring,2391
trachea,trachea,,trachea,2388
skin environment (ENVO:2100003),skin environment (ENVO:2100003),ENVO:2100003,skin environment,2388
vaginal,vaginal,,vaginal,2384
Tumor Microbiome,Tumor Microbiome,,Tumor Microbiome,2379
control,control,,control,2377
Permafrost,Permafrost,,Permafrost,2376
beech forest,beech forest,,beech forest,2375
Hydrothermal vent sulfide rock,Hydrothermal vent sulfide rock,,Hydrothermal vent sulfide rock,2370
Antarctic Ocean,Antarctic Ocean,,Antarctic Ocean,2366
Tundra,Tundra,,Tundra,2365
feces(ENVO:00002003),feces(ENVO:00002003),ENVO:00002003,feces,2364
cecal content,cecal content,,cecal content,2358
marine_oligotrophic_desert,marine_oligotrophic_desert,,marine_oligotrophic_desert,2358
marine_abyssal_zone_biome,marine_abyssal_zone_biome,,marine_abyssal_zone_biome,2358
fecal microbiome,fecal microbiome,,fecal microbiome,2339
biofilm material,biofilm material,,biofilm material,2338
marine hydrothermal vent biome [ENVO:01000030],marine hydrothermal vent biome [ENVO:01000030],ENVO:01000030,marine hydrothermal vent biome,2331
skin of body (UBERON:0002097),skin of body (UBERON:0002097),,skin of body UBERON:0002097,2327
river water,river water,,river water,2327
tracheal aspirate,tracheal aspirate,,tracheal aspirate,2321
lake sediment,lake sediment,,lake sediment,2309
Biofilm,Biofilm,,Biofilm,2308
natural Grassland,natural Grassland,,natural Grassland,2302
ENVO:00002150,ENVO:00002150,ENVO:00002150,,2302
aquatic biome [ENVO_00002030],aquatic biome [ENVO_00002030],ENVO:00002030,aquatic biome,2279
marine benthic biome (ENVO:01000024),marine benthic biome (ENVO:01000024),ENVO:01000024,marine benthic biome,2277
human skin oral gut,human skin oral gut,,human skin oral gut,2271
large river biome,large river biome,,large river biome,2263
pelagic,pelagic,,pelagic,2248
UBERON:0000160,UBERON:0000160,,UBERON:0000160,2246
terrestrial biome ENVO:00000446,terrestrial biome ENVO:00000446,ENVO:00000446,terrestrial biome,2241
nearshore,nearshore,,nearshore,2239
ENVO:01001000,ENVO:01001000,ENVO:01001000,,2231
ENVO:2100003,ENVO:2100003,ENVO:2100003,,2226
Peat permafrost,Peat permafrost,,Peat permafrost,2210
harmful algal bloom community structure,harmful algal bloom community structure,,harmful algal bloom community structure,2208
gut biome,gut biome,,gut biome,2205
coral reef [ENVO:00000150],coral reef [ENVO:00000150],ENVO:00000150,coral reef,2197
Roots,Roots,,Roots,2193
Human feces,Human feces,,Human feces,2177
